Activity,Resource
A_Cancelled,User_60
O_Cancelled,User_60
A_Create Application,User_48
A_Concept,User_48
A_Create Application,User_53
A_Concept,User_53
O_Cancelled,User_48
O_Cancelled,User_53
A_Incomplete,User_4
W_Call incomplete files,User_19
W_Call after offers,User_52
O_Cancelled,User_121
O_Returned,User_124
A_Accepted,User_51
O_Create Offer,User_51
O_Created,User_51
O_Sent (mail and online),User_51
W_Complete application,User_51
A_Complete,User_51
A_Cancelled,User_51
O_Cancelled,User_51
W_Call after offers,User_51
O_Create Offer,User_40
O_Created,User_40
O_Sent (mail and online),User_40
W_Complete application,User_40
A_Complete,User_40
A_Cancelled,User_40
O_Cancelled,User_40
A_Incomplete,User_20
A_Accepted,User_40
A_Create Application,User_51
A_Concept,User_51
A_Incomplete,User_124
W_Validate application,User_122
A_Incomplete,User_122
A_Create Application,User_40
A_Concept,User_40
W_Complete application,User_90
A_Complete,User_90
W_Call after offers,User_90
W_Handle leads,User_46
W_Call after offers,User_12
W_Call incomplete files,User_47
A_Validating,User_45
O_Accepted,User_2
A_Pending,User_2
O_Create Offer,User_103
O_Created,User_103
W_Handle leads,User_103
A_Concept,User_103
O_Create Offer,User_45
O_Created,User_45
O_Sent (mail and online),User_45
A_Denied,User_124
O_Refused,User_124
A_Denied,User_83
O_Refused,User_83
A_Cancelled,User_68
O_Returned,User_27
O_Accepted,User_107
A_Pending,User_107
O_Cancelled,User_107
W_Call incomplete files,User_121
W_Validate application,User_83
A_Incomplete,User_83
W_Validate application,User_24
A_Denied,User_26
O_Refused,User_26
W_Call after offers,User_49
O_Create Offer,User_54
O_Created,User_54
O_Sent (mail and online),User_54
A_Validating,User_126
O_Returned,User_126
A_Validating,User_133
A_Denied,User_20
O_Refused,User_20
A_Denied,User_46
O_Refused,User_46
A_Denied,User_38
O_Refused,User_38
W_Validate application,User_46
A_Incomplete,User_46
W_Complete application,User_101
A_Complete,User_101
W_Call after offers,User_101
A_Denied,User_7
O_Refused,User_7
A_Cancelled,User_45
O_Cancelled,User_45
A_Incomplete,User_42
A_Cancelled,User_48
W_Call incomplete files,User_45
A_Denied,User_51
O_Refused,User_51
W_Call after offers,User_26
A_Denied,User_3
O_Refused,User_3
W_Validate application,User_124
O_Returned,User_83
A_Incomplete,User_32
A_Incomplete,User_41
W_Validate application,User_123
A_Incomplete,User_123
A_Cancelled,User_76
O_Cancelled,User_76
O_Accepted,User_128
A_Pending,User_128
O_Cancelled,User_128
A_Denied,User_53
O_Refused,User_53
W_Call after offers,User_31
A_Create Application,User_83
A_Concept,User_83
A_Accepted,User_83
O_Create Offer,User_83
O_Created,User_83
W_Complete application,User_83
A_Complete,User_83
W_Call after offers,User_83
A_Validating,User_83
O_Sent (mail and online),User_83
A_Denied,User_93
O_Refused,User_93
W_Validate application,User_93
W_Call incomplete files,User_85
A_Accepted,User_45
A_Complete,User_45
W_Call incomplete files,User_12
A_Incomplete,User_93
A_Denied,User_76
O_Refused,User_76
W_Call after offers,User_76
A_Cancelled,User_53
W_Validate application,User_39
A_Incomplete,User_39
W_Complete application,User_45
A_Validating,User_53
O_Create Offer,User_107
O_Created,User_107
W_Call after offers,User_68
W_Validate application,User_126
A_Incomplete,User_126
W_Call incomplete files,User_126
A_Incomplete,User_125
O_Sent (mail and online),User_103
A_Complete,User_103
W_Handle leads,User_45
A_Concept,User_45
A_Create Application,User_45
O_Returned,User_107
W_Handle leads,User_42
W_Validate application,User_40
A_Incomplete,User_40
W_Call incomplete files,User_54
A_Validating,User_54
W_Validate application,User_41
A_Validating,User_93
A_Validating,User_51
O_Accepted,User_122
A_Pending,User_122
O_Cancelled,User_122
A_Incomplete,User_71
A_Accepted,User_58
A_Validating,User_124
W_Handle leads,User_39
A_Denied,User_17
W_Call incomplete files,User_125
W_Call after offers,User_24
A_Validating,User_111
A_Denied,User_33
O_Refused,User_33
W_Call incomplete files,User_124
A_Incomplete,User_27
W_Validate application,User_45
A_Cancelled,User_54
O_Cancelled,User_54
W_Call incomplete files,User_123
W_Call incomplete files,User_40
W_Validate application,User_27
W_Handle leads,User_40
W_Handle leads,User_53
W_Call incomplete files,User_48
A_Cancelled,User_90
W_Handle leads,User_60
A_Denied,User_45
O_Refused,User_45
A_Denied,User_40
O_Refused,User_40
W_Call after offers,User_40
W_Validate application,User_35
A_Incomplete,User_35
A_Cancelled,User_50
O_Cancelled,User_50
O_Create Offer,User_57
O_Created,User_57
O_Sent (mail and online),User_57
A_Accepted,User_107
O_Sent (mail and online),User_107
A_Complete,User_107
W_Call after offers,User_60
W_Validate application,User_4
A_Incomplete,User_24
A_Accepted,User_63
O_Create Offer,User_63
O_Created,User_63
O_Sent (mail and online),User_63
A_Complete,User_63
O_Returned,User_93
O_Refused,User_17
W_Call after offers,User_41
W_Complete application,User_63
A_Denied,User_11
O_Refused,User_11
A_Denied,User_60
O_Refused,User_60
A_Validating,User_142
O_Accepted,User_27
A_Pending,User_27
W_Validate application,User_133
A_Incomplete,User_133
A_Complete,User_54
O_Create Offer,User_58
O_Created,User_58
O_Sent (mail and online),User_58
A_Incomplete,User_60
W_Call after offers,User_33
A_Incomplete,User_26
A_Cancelled,User_125
O_Accepted,User_100
A_Pending,User_100
O_Cancelled,User_100
W_Complete application,User_58
A_Complete,User_58
A_Cancelled,User_58
O_Cancelled,User_58
W_Call after offers,User_58
A_Accepted,User_54
W_Complete application,User_54
A_Validating,User_131
W_Validate application,User_50
O_Cancelled,User_63
O_Accepted,User_126
A_Pending,User_126
O_Cancelled,User_126
A_Create Application,User_63
A_Concept,User_63
O_Create Offer,User_121
O_Created,User_121
O_Sent (mail and online),User_121
A_Denied,User_107
O_Refused,User_107
W_Validate application,User_85
A_Incomplete,User_85
A_Accepted,User_57
W_Complete application,User_57
A_Complete,User_57
O_Returned,User_136
O_Create Offer,User_59
O_Created,User_59
O_Sent (mail and online),User_59
W_Call incomplete files,User_109
O_Accepted,User_129
A_Pending,User_129
W_Call incomplete files,User_43
A_Create Application,User_54
A_Concept,User_54
A_Incomplete,User_54
W_Handle leads,User_54
W_Call after offers,User_45
A_Denied,User_85
O_Refused,User_85
W_Handle leads,User_142
A_Concept,User_142
A_Validating,User_58
A_Incomplete,User_107
A_Create Application,User_58
A_Concept,User_58
W_Call after offers,User_35
O_Accepted,User_123
A_Pending,User_123
O_Cancelled,User_123
W_Validate application,User_143
O_Returned,User_133
A_Cancelled,User_63
O_Create Offer,User_136
O_Created,User_136
A_Cancelled,User_57
O_Cancelled,User_57
A_Create Application,User_57
A_Concept,User_57
O_Returned,User_139
A_Denied,User_136
O_Refused,User_136
W_Call incomplete files,User_83
A_Accepted,User_62
O_Create Offer,User_62
O_Created,User_62
O_Sent (mail and online),User_62
W_Complete application,User_62
A_Complete,User_62
W_Validate application,User_54
O_Cancelled,User_62
A_Validating,User_62
A_Incomplete,User_136
A_Cancelled,User_62
W_Call after offers,User_62
W_Handle leads,User_48
A_Validating,User_107
W_Handle leads,User_62
A_Concept,User_62
W_Validate application,User_51
A_Incomplete,User_51
A_Incomplete,User_11
A_Create Application,User_93
A_Concept,User_93
A_Accepted,User_93
O_Create Offer,User_93
O_Created,User_93
W_Complete application,User_93
A_Complete,User_93
W_Call after offers,User_93
W_Call incomplete files,User_122
W_Validate application,User_52
A_Incomplete,User_52
A_Accepted,User_55
O_Create Offer,User_55
O_Created,User_55
O_Sent (mail and online),User_55
A_Complete,User_55
A_Incomplete,User_36
W_Complete application,User_55
A_Cancelled,User_55
O_Cancelled,User_55
W_Call after offers,User_55
A_Denied,User_54
O_Refused,User_54
O_Cancelled,User_129
W_Call after offers,User_2
A_Validating,User_59
W_Handle leads,User_50
A_Validating,User_57
A_Denied,User_35
O_Refused,User_35
A_Denied,User_12
O_Refused,User_12
A_Accepted,User_56
O_Create Offer,User_56
O_Created,User_56
O_Sent (mail and online),User_56
W_Complete application,User_56
A_Complete,User_56
A_Validating,User_128
O_Returned,User_128
A_Denied,User_139
O_Refused,User_139
A_Accepted,User_78
O_Create Offer,User_78
O_Created,User_78
O_Sent (mail and online),User_78
W_Complete application,User_78
A_Complete,User_78
A_Denied,User_70
O_Refused,User_70
O_Cancelled,User_56
A_Accepted,User_91
O_Create Offer,User_91
O_Created,User_91
O_Sent (mail and online),User_91
W_Complete application,User_91
A_Complete,User_91
W_Call after offers,User_19
A_Incomplete,User_139
A_Cancelled,User_111
O_Cancelled,User_111
A_Create Application,User_55
A_Concept,User_55
A_Incomplete,User_45
W_Call incomplete files,User_107
W_Validate application,User_107
W_Handle leads,User_64
A_Concept,User_64
A_Create Application,User_64
W_Call after offers,User_86
O_Create Offer,User_79
O_Created,User_79
O_Sent (mail and online),User_79
O_Returned,User_131
A_Incomplete,User_48
A_Validating,User_130
O_Returned,User_130
A_Denied,User_61
O_Refused,User_61
W_Call incomplete files,User_55
A_Validating,User_55
W_Complete application,User_59
A_Complete,User_59
A_Accepted,User_59
A_Validating,User_136
O_Cancelled,User_78
A_Cancelled,User_93
O_Cancelled,User_93
A_Create Application,User_78
A_Concept,User_78
A_Validating,User_78
W_Validate application,User_131
A_Incomplete,User_131
A_Denied,User_78
W_Validate application,User_36
A_Create Application,User_56
A_Concept,User_56
O_Sent (mail and online),User_100
W_Handle leads,User_63
W_Handle leads,User_82
A_Create Application,User_91
A_Concept,User_91
W_Validate application,User_71
O_Cancelled,User_59
W_Handle leads,User_58
O_Create Offer,User_67
O_Created,User_67
O_Sent (mail and online),User_67
A_Cancelled,User_78
W_Call after offers,User_78
A_Cancelled,User_132
O_Cancelled,User_132
W_Call incomplete files,User_57
W_Call incomplete files,User_53
A_Create Application,User_59
A_Concept,User_59
A_Cancelled,User_64
O_Cancelled,User_64
W_Handle leads,User_78
W_Handle leads,User_91
A_Cancelled,User_67
O_Cancelled,User_67
W_Call incomplete files,User_67
W_Handle leads,User_56
W_Validate application,User_130
A_Incomplete,User_130
A_Validating,User_140
O_Accepted,User_133
A_Pending,User_133
O_Cancelled,User_133
W_Call after offers,User_11
W_Call incomplete files,User_63
A_Validating,User_63
A_Create Application,User_62
A_Cancelled,User_56
A_Denied,User_50
O_Refused,User_50
W_Complete application,User_143
A_Create Application,User_107
A_Concept,User_107
W_Complete application,User_107
W_Call after offers,User_107
A_Incomplete,User_57
A_Validating,User_56
A_Denied,User_56
O_Refused,User_56
W_Call after offers,User_42
W_Call incomplete files,User_62
W_Handle leads,User_57
A_Accepted,User_66
O_Create Offer,User_66
O_Created,User_66
O_Sent (mail and online),User_66
W_Complete application,User_66
A_Complete,User_66
O_Accepted,User_31
A_Pending,User_31
A_Cancelled,User_104
O_Cancelled,User_104
W_Call incomplete files,User_51
W_Validate application,User_106
A_Incomplete,User_106
O_Cancelled,User_91
A_Accepted,User_132
O_Create Offer,User_132
O_Created,User_132
O_Sent (mail and online),User_132
W_Complete application,User_132
A_Complete,User_132
W_Call incomplete files,User_58
O_Returned,User_134
A_Validating,User_134
W_Call incomplete files,User_133
W_Handle leads,User_138
A_Denied,User_64
O_Refused,User_64
O_Create Offer,User_84
O_Created,User_84
W_Call after offers,User_54
O_Sent (mail and online),User_99
W_Handle leads,User_59
O_Create Offer,User_111
O_Created,User_111
O_Sent (mail and online),User_111
A_Complete,User_111
A_Validating,User_129
O_Returned,User_129
W_Call after offers,User_56
W_Call after offers,User_70
W_Call after offers,User_28
O_Accepted,User_93
A_Pending,User_93
A_Cancelled,User_66
O_Cancelled,User_66
W_Call incomplete files,User_66
W_Validate application,User_129
A_Incomplete,User_129
W_Validate application,User_10
A_Create Application,User_111
A_Concept,User_111
A_Accepted,User_111
W_Complete application,User_111
W_Call after offers,User_132
A_Validating,User_132
W_Validate application,User_132
A_Incomplete,User_132
A_Accepted,User_104
O_Create Offer,User_104
O_Created,User_104
O_Sent (mail and online),User_104
W_Complete application,User_104
A_Complete,User_104
A_Accepted,User_65
O_Create Offer,User_65
O_Created,User_65
O_Sent (mail and online),User_65
A_Complete,User_65
O_Cancelled,User_65
W_Call incomplete files,User_130
A_Denied,User_62
O_Refused,User_62
A_Accepted,User_77
O_Create Offer,User_77
O_Created,User_77
O_Sent (mail and online),User_77
A_Complete,User_77
O_Cancelled,User_77
W_Handle leads,User_65
A_Concept,User_65
W_Complete application,User_77
A_Create Application,User_65
W_Complete application,User_65
W_Validate application,User_48
A_Accepted,User_67
W_Complete application,User_67
A_Complete,User_67
W_Call after offers,User_10
W_Call incomplete files,User_131
W_Validate application,User_61
A_Incomplete,User_61
W_Complete application,User_103
A_Cancelled,User_103
W_Call after offers,User_103
O_Create Offer,User_80
O_Created,User_80
O_Sent (mail and online),User_80
W_Call after offers,User_7
A_Cancelled,User_107
A_Create Application,User_67
A_Concept,User_67
A_Accepted,User_84
O_Sent (mail and online),User_84
W_Complete application,User_84
A_Complete,User_84
A_Denied,User_91
O_Refused,User_91
W_Call after offers,User_37
W_Validate application,User_37
A_Create Application,User_77
A_Concept,User_77
W_Handle leads,User_66
A_Concept,User_66
A_Accepted,User_79
W_Complete application,User_79
A_Complete,User_79
A_Validating,User_67
A_Create Application,User_103
A_Validating,User_103
O_Returned,User_103
W_Complete application,User_138
A_Accepted,User_80
W_Complete application,User_80
A_Complete,User_80
O_Create Offer,User_96
O_Created,User_96
O_Sent (mail and online),User_96
A_Cancelled,User_99
A_Accepted,User_96
A_Complete,User_96
A_Denied,User_77
A_Denied,User_106
O_Refused,User_106
A_Create Application,User_80
A_Concept,User_80
A_Denied,User_67
O_Refused,User_67
W_Call after offers,User_67
A_Create Application,User_66
W_Complete application,User_96
A_Create Application,User_104
A_Concept,User_104
A_Validating,User_65
W_Validate application,User_31
A_Denied,User_55
O_Refused,User_55
A_Validating,User_66
A_Validating,User_64
O_Accepted,User_131
A_Pending,User_131
A_Cancelled,User_77
A_Cancelled,User_80
O_Cancelled,User_80
A_Accepted,User_64
O_Returned,User_53
W_Validate application,User_53
A_Incomplete,User_53
A_Validating,User_139
A_Create Application,User_106
A_Concept,User_106
A_Accepted,User_106
O_Create Offer,User_106
O_Created,User_106
O_Sent (mail and online),User_106
A_Complete,User_106
W_Call after offers,User_106
A_Validating,User_106
A_Incomplete,User_84
A_Validating,User_84
O_Refused,User_52
A_Denied,User_65
O_Refused,User_65
W_Call after offers,User_65
A_Create Application,User_84
A_Concept,User_84
A_Denied,User_84
O_Refused,User_84
W_Validate application,User_134
A_Incomplete,User_134
A_Incomplete,User_63
O_Cancelled,User_131
O_Cancelled,User_79
O_Create Offer,User_118
O_Created,User_118
O_Sent (mail and online),User_118
O_Cancelled,User_96
A_Cancelled,User_96
O_Cancelled,User_84
A_Cancelled,User_84
A_Create Application,User_79
A_Concept,User_79
A_Denied,User_79
A_Create Application,User_96
A_Concept,User_96
A_Denied,User_133
O_Refused,User_133
A_Cancelled,User_129
W_Validate application,User_128
A_Incomplete,User_128
O_Sent (mail and online),User_93
W_Call incomplete files,User_93
W_Call incomplete files,User_56
O_Returned,User_106
A_Accepted,User_69
O_Create Offer,User_69
O_Created,User_69
O_Sent (mail and online),User_69
A_Complete,User_69
O_Returned,User_31
O_Returned,User_140
A_Validating,User_80
W_Validate application,User_80
A_Incomplete,User_80
A_Denied,User_96
O_Refused,User_96
W_Validate application,User_67
A_Incomplete,User_67
W_Handle leads,User_67
W_Handle leads,User_51
A_Validating,User_137
O_Returned,User_137
W_Validate application,User_137
A_Incomplete,User_137
A_Validating,User_79
A_Cancelled,User_123
A_Accepted,User_81
O_Create Offer,User_81
O_Created,User_81
O_Cancelled,User_81
O_Sent (mail and online),User_81
A_Complete,User_81
O_Accepted,User_134
A_Pending,User_134
O_Cancelled,User_134
O_Create Offer,User_133
O_Created,User_133
O_Create Offer,User_72
O_Created,User_72
A_Denied,User_66
O_Refused,User_66
A_Cancelled,User_69
O_Cancelled,User_69
W_Call incomplete files,User_69
W_Validate application,User_140
A_Incomplete,User_140
A_Accepted,User_98
O_Create Offer,User_98
O_Created,User_98
O_Sent (mail and online),User_98
A_Complete,User_98
O_Accepted,User_53
A_Pending,User_53
O_Accepted,User_106
A_Pending,User_106
A_Cancelled,User_79
O_Refused,User_78
W_Complete application,User_98
W_Call incomplete files,User_78
A_Accepted,User_88
O_Create Offer,User_88
O_Created,User_88
O_Sent (mail and online),User_88
W_Complete application,User_88
A_Complete,User_88
A_Accepted,User_72
O_Sent (mail and online),User_72
W_Complete application,User_72
A_Complete,User_72
A_Validating,User_69
O_Create Offer,User_105
O_Created,User_105
O_Sent (mail and online),User_105
W_Complete application,User_81
W_Validate application,User_136
O_Cancelled,User_98
W_Complete application,User_69
A_Concept,User_98
A_Create Application,User_72
A_Concept,User_72
A_Cancelled,User_119
O_Cancelled,User_106
W_Handle leads,User_79
A_Incomplete,User_12
A_Accepted,User_94
O_Create Offer,User_94
O_Created,User_94
O_Sent (mail and online),User_94
A_Complete,User_94
W_Complete application,User_94
A_Accepted,User_135
O_Create Offer,User_135
O_Created,User_135
O_Sent (mail and online),User_135
W_Complete application,User_135
A_Complete,User_135
A_Create Application,User_94
A_Concept,User_94
W_Validate application,User_66
A_Incomplete,User_66
A_Cancelled,User_135
O_Cancelled,User_135
W_Call after offers,User_135
W_Call incomplete files,User_134
A_Incomplete,User_64
A_Cancelled,User_105
O_Cancelled,User_105
O_Accepted,User_137
A_Pending,User_137
O_Cancelled,User_137
A_Cancelled,User_83
W_Handle leads,User_69
A_Concept,User_69
A_Concept,User_81
A_Denied,User_140
O_Refused,User_140
A_Create Application,User_81
W_Handle leads,User_81
A_Accepted,User_105
W_Complete application,User_105
A_Complete,User_105
A_Create Application,User_69
W_Handle leads,User_80
O_Cancelled,User_72
W_Call incomplete files,User_84
W_Handle leads,User_105
A_Concept,User_105
O_Cancelled,User_94
O_Refused,User_79
A_Denied,User_94
O_Refused,User_94
W_Call incomplete files,User_80
A_Denied,User_88
O_Refused,User_88
W_Call after offers,User_88
A_Validating,User_72
W_Validate application,User_72
A_Incomplete,User_72
W_Call after offers,User_105
W_Call incomplete files,User_88
A_Validating,User_88
A_Denied,User_58
O_Refused,User_58
W_Call incomplete files,User_105
A_Validating,User_105
W_Call after offers,User_84
W_Validate application,User_84
A_Create Application,User_88
A_Concept,User_88
A_Denied,User_63
O_Refused,User_63
O_Sent (mail and online),User_142
A_Complete,User_142
A_Cancelled,User_72
A_Incomplete,User_21
W_Call after offers,User_79
A_Denied,User_69
O_Refused,User_69
W_Complete application,User_106
A_Cancelled,User_88
O_Cancelled,User_88
A_Create Application,User_98
A_Create Application,User_105
W_Call after offers,User_77
W_Validate application,User_105
A_Incomplete,User_105
W_Call incomplete files,User_137
